"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
690,641712,"Hudson, Dakota",1448,47.7,0.309,0.166,0.295,0.475,0.391,0.413,0.326,56,181,92,5.2,2066,90.2,90.55,22,303,387,0.3999999999999915,6.33,112,148,119,148,301,330,301,"-8.9","8.9",70.72149219005223,"6.931458735"
291,607536,"Freeland, Kyle",551,52.8,0.313,0.157,0.329,0.47,0.364,0.313,0.268,26,83,88.2,10.2,2320,91.9,92.72,12,143,148,0.7999999999999972,6.68,109,150,122,146,303,332,299,"-3.7","3.7",69.96110817848016,"6.83149087"
710,650911,"Sánchez, Cristopher",1481,47.9,0.35,0.1,0.369,0.45,0.382,0.404,0.362,56,160,91.2,0.3,2134,94.4,95.31,30,337,373,0.8999999999999915,6.9,106,149,114,147,298,322,288,"-3","3",70.2545401064799,"6.859465519"
251,519008,"McFarland, T.J.",511,49.1,0.26,0.082,0.279,0.342,0.276,0.232,0.215,19,73,87.6,-7.3,1966,87.8,86.29,12,131,120,-1.5,5.45,109,146,113,148,296,317,295,"6.2","-6.2",66.91818054975681,"6.674296147"
618,596295,"Gomber, Austin",1493,41.4,0.306,0.224,0.312,0.53,0.387,0.39,0.302,41,134,92.3,14.6,2187,90.4,91.27,24,254,364,0.8999999999999915,6.74,110,151,123,147,304,330,298,"-2.2","2.2",70.81060765115257,"7.02990871"
677,681857,"Olson, Reese",1548,43.7,0.277,0.107,0.307,0.384,0.307,0.324,0.283,49,177,91,7.8,2171,94.2,93.42,29,306,371,-0.7999999999999972,5.89,113,148,117,147,296,328,297,"3.2","-3.2",70.18629990403281,"6.969511131"
261,641755,"Kinley, Tyler",684,38.2,0.396,0.17,0.388,0.566,0.467,0.491,0.398,21,53,92.3,21.8,2364,95.8,95.06,11,112,149,-0.7000000000000028,5.55,111,148,120,148,304,332,302,"-6.4","6.4",69.29648418501698,"7.1212776"
403,663546,"Hjelle, Sean",619,65.1,0.284,0.095,0.313,0.379,0.297,0.291,0.267,27,95,84.8,-1.5,2227,94.3,94.9,17,174,229,0.6000000000000085,6.64,111,147,117,149,295,321,294,"5.2","-5.2",67.24853390610107,"6.60686179"
450,592836,"Walker, Taijuan",850,52.9,0.305,0.263,0.349,0.568,0.424,0.409,0.289,29,95,94.3,17.8,2042,90.2,89.57,16,155,295,-0.6000000000000085,5.91,110,148,114,148,296,325,296,"-10.7","10.7",71.2880196835935,"7.052718951"
260,663567,"Lambert, Peter",611,42.6,0.268,0.179,0.271,0.446,0.359,0.36,0.273,15,56,88,19.2,2237,94.4,94.94,12,117,143,0.5,6.48,112,148,120,148,301,328,300,"-2.9","2.9",69.48768309735087,"6.726672959"
683,663474,"McKenzie, Triston",1304,52.4,0.303,0.348,0.263,0.652,0.463,0.467,0.31,47,155,92.4,20.6,2229,91.1,92.02,30,292,391,0.9000000000000057,6.83,111,149,122,149,296,318,298,"-16.3","16.3",70.59587544179212,"7.072912374"
502,543294,"Hendricks, Kyle",1040,48.3,0.385,0.231,0.384,0.615,0.451,0.416,0.346,45,117,88.1,13.7,2012,87.8,86.92,23,222,280,-0.8999999999999915,5.65,111,150,115,151,301,323,294,"-16.9","16.9",70.22807647603697,"6.800497839"
810,663903,"Singer, Brady",1563,51.8,0.282,0.153,0.317,0.435,0.345,0.372,0.301,50,177,89.1,3.1,2264,92,93.44,35,322,488,1.4000000000000057,7.03,112,147,118,149,296,324,295,"0.8","-0.8",69.56131784973759,"6.753904187"
362,674072,"Henry, Tommy",706,51.3,0.308,0.321,0.286,0.628,0.43,0.401,0.282,24,78,91.3,16.4,2130,90,90.74,19,173,189,0.7000000000000028,6.72,110,149,118,146,303,320,295,"-7.1","7.1",71.2858985651662,"7.006257733"
544,678394,"Bello, Brayan",1328,41,0.35,0.161,0.4,0.511,0.411,0.35,0.281,48,137,90.5,0,2027,95.8,95.86,27,243,301,0.10000000000000853,6.37,110,150,115,146,288,320,296,"-7","7",69.27639764694787,"6.679936238"
353,665622,"Medina, Luis",626,56.4,0.267,0.147,0.265,0.413,0.344,0.37,0.278,20,75,90.2,16.1,2377,95.8,95.76,19,169,184,0,6.31,109,146,118,149,304,321,298,"-1.2","1.2",70.79203626735641,"6.884968742"
